scans/scene0191_00/depth scans/scene0191_00/color scans/scene0191_00/label-filt scans/scene0191_00/pose scans/scene0191_00/intrinsic
scans/scene0624_00/depth scans/scene0624_00/color scans/scene0624_00/label-filt scans/scene0624_00/pose scans/scene0624_00/intrinsic
scans/scene0292_00/depth scans/scene0292_00/color scans/scene0292_00/label-filt scans/scene0292_00/pose scans/scene0292_00/intrinsic
scans/scene0632_00/depth scans/scene0632_00/color scans/scene0632_00/label-filt scans/scene0632_00/pose scans/scene0632_00/intrinsic
scans/scene0253_00/depth scans/scene0253_00/color scans/scene0253_00/label-filt scans/scene0253_00/pose scans/scene0253_00/intrinsic
scans/scene0021_00/depth scans/scene0021_00/color scans/scene0021_00/label-filt scans/scene0021_00/pose scans/scene0021_00/intrinsic
scans/scene0325_00/depth scans/scene0325_00/color scans/scene0325_00/label-filt scans/scene0325_00/pose scans/scene0325_00/intrinsic
scans/scene0437_00/depth scans/scene0437_00/color scans/scene0437_00/label-filt scans/scene0437_00/pose scans/scene0437_00/intrinsic
scans/scene0438_00/depth scans/scene0438_00/color scans/scene0438_00/label-filt scans/scene0438_00/pose scans/scene0438_00/intrinsic
scans/scene0590_00/depth scans/scene0590_00/color scans/scene0590_00/label-filt scans/scene0590_00/pose scans/scene0590_00/intrinsic
scans/scene0400_00/depth scans/scene0400_00/color scans/scene0400_00/label-filt scans/scene0400_00/pose scans/scene0400_00/intrinsic
scans/scene0541_00/depth scans/scene0541_00/color scans/scene0541_00/label-filt scans/scene0541_00/pose scans/scene0541_00/intrinsic
scans/scene0677_00/depth scans/scene0677_00/color scans/scene0677_00/label-filt scans/scene0677_00/pose scans/scene0677_00/intrinsic
scans/scene0443_00/depth scans/scene0443_00/color scans/scene0443_00/label-filt scans/scene0443_00/pose scans/scene0443_00/intrinsic
scans/scene0315_00/depth scans/scene0315_00/color scans/scene0315_00/label-filt scans/scene0315_00/pose scans/scene0315_00/intrinsic
scans/scene0288_00/depth scans/scene0288_00/color scans/scene0288_00/label-filt scans/scene0288_00/pose scans/scene0288_00/intrinsic
scans/scene0422_00/depth scans/scene0422_00/color scans/scene0422_00/label-filt scans/scene0422_00/pose scans/scene0422_00/intrinsic
scans/scene0672_00/depth scans/scene0672_00/color scans/scene0672_00/label-filt scans/scene0672_00/pose scans/scene0672_00/intrinsic
scans/scene0184_00/depth scans/scene0184_00/color scans/scene0184_00/label-filt scans/scene0184_00/pose scans/scene0184_00/intrinsic
scans/scene0449_00/depth scans/scene0449_00/color scans/scene0449_00/label-filt scans/scene0449_00/pose scans/scene0449_00/intrinsic
scans/scene0048_00/depth scans/scene0048_00/color scans/scene0048_00/label-filt scans/scene0048_00/pose scans/scene0048_00/intrinsic
scans/scene0138_00/depth scans/scene0138_00/color scans/scene0138_00/label-filt scans/scene0138_00/pose scans/scene0138_00/intrinsic
scans/scene0452_00/depth scans/scene0452_00/color scans/scene0452_00/label-filt scans/scene0452_00/pose scans/scene0452_00/intrinsic
scans/scene0667_00/depth scans/scene0667_00/color scans/scene0667_00/label-filt scans/scene0667_00/pose scans/scene0667_00/intrinsic
scans/scene0463_00/depth scans/scene0463_00/color scans/scene0463_00/label-filt scans/scene0463_00/pose scans/scene0463_00/intrinsic
scans/scene0078_00/depth scans/scene0078_00/color scans/scene0078_00/label-filt scans/scene0078_00/pose scans/scene0078_00/intrinsic
scans/scene0636_00/depth scans/scene0636_00/color scans/scene0636_00/label-filt scans/scene0636_00/pose scans/scene0636_00/intrinsic
scans/scene0457_00/depth scans/scene0457_00/color scans/scene0457_00/label-filt scans/scene0457_00/pose scans/scene0457_00/intrinsic
scans/scene0465_00/depth scans/scene0465_00/color scans/scene0465_00/label-filt scans/scene0465_00/pose scans/scene0465_00/intrinsic
scans/scene0577_00/depth scans/scene0577_00/color scans/scene0577_00/label-filt scans/scene0577_00/pose scans/scene0577_00/intrinsic
scans/scene0151_00/depth scans/scene0151_00/color scans/scene0151_00/label-filt scans/scene0151_00/pose scans/scene0151_00/intrinsic
scans/scene0339_00/depth scans/scene0339_00/color scans/scene0339_00/label-filt scans/scene0339_00/pose scans/scene0339_00/intrinsic
scans/scene0573_00/depth scans/scene0573_00/color scans/scene0573_00/label-filt scans/scene0573_00/pose scans/scene0573_00/intrinsic
scans/scene0154_00/depth scans/scene0154_00/color scans/scene0154_00/label-filt scans/scene0154_00/pose scans/scene0154_00/intrinsic
scans/scene0096_00/depth scans/scene0096_00/color scans/scene0096_00/label-filt scans/scene0096_00/pose scans/scene0096_00/intrinsic
scans/scene0235_00/depth scans/scene0235_00/color scans/scene0235_00/label-filt scans/scene0235_00/pose scans/scene0235_00/intrinsic
scans/scene0168_00/depth scans/scene0168_00/color scans/scene0168_00/label-filt scans/scene0168_00/pose scans/scene0168_00/intrinsic
scans/scene0594_00/depth scans/scene0594_00/color scans/scene0594_00/label-filt scans/scene0594_00/pose scans/scene0594_00/intrinsic
scans/scene0587_00/depth scans/scene0587_00/color scans/scene0587_00/label-filt scans/scene0587_00/pose scans/scene0587_00/intrinsic
scans/scene0229_00/depth scans/scene0229_00/color scans/scene0229_00/label-filt scans/scene0229_00/pose scans/scene0229_00/intrinsic
scans/scene0512_00/depth scans/scene0512_00/color scans/scene0512_00/label-filt scans/scene0512_00/pose scans/scene0512_00/intrinsic
scans/scene0106_00/depth scans/scene0106_00/color scans/scene0106_00/label-filt scans/scene0106_00/pose scans/scene0106_00/intrinsic
scans/scene0472_00/depth scans/scene0472_00/color scans/scene0472_00/label-filt scans/scene0472_00/pose scans/scene0472_00/intrinsic
scans/scene0489_00/depth scans/scene0489_00/color scans/scene0489_00/label-filt scans/scene0489_00/pose scans/scene0489_00/intrinsic
scans/scene0425_00/depth scans/scene0425_00/color scans/scene0425_00/label-filt scans/scene0425_00/pose scans/scene0425_00/intrinsic
scans/scene0641_00/depth scans/scene0641_00/color scans/scene0641_00/label-filt scans/scene0641_00/pose scans/scene0641_00/intrinsic
scans/scene0526_00/depth scans/scene0526_00/color scans/scene0526_00/label-filt scans/scene0526_00/pose scans/scene0526_00/intrinsic
scans/scene0317_00/depth scans/scene0317_00/color scans/scene0317_00/label-filt scans/scene0317_00/pose scans/scene0317_00/intrinsic
scans/scene0544_00/depth scans/scene0544_00/color scans/scene0544_00/label-filt scans/scene0544_00/pose scans/scene0544_00/intrinsic
scans/scene0017_00/depth scans/scene0017_00/color scans/scene0017_00/label-filt scans/scene0017_00/pose scans/scene0017_00/intrinsic
scans/scene0042_00/depth scans/scene0042_00/color scans/scene0042_00/label-filt scans/scene0042_00/pose scans/scene0042_00/intrinsic
scans/scene0576_00/depth scans/scene0576_00/color scans/scene0576_00/label-filt scans/scene0576_00/pose scans/scene0576_00/intrinsic
scans/scene0347_00/depth scans/scene0347_00/color scans/scene0347_00/label-filt scans/scene0347_00/pose scans/scene0347_00/intrinsic
scans/scene0436_00/depth scans/scene0436_00/color scans/scene0436_00/label-filt scans/scene0436_00/pose scans/scene0436_00/intrinsic
scans/scene0226_00/depth scans/scene0226_00/color scans/scene0226_00/label-filt scans/scene0226_00/pose scans/scene0226_00/intrinsic
scans/scene0485_00/depth scans/scene0485_00/color scans/scene0485_00/label-filt scans/scene0485_00/pose scans/scene0485_00/intrinsic
scans/scene0486_00/depth scans/scene0486_00/color scans/scene0486_00/label-filt scans/scene0486_00/pose scans/scene0486_00/intrinsic
scans/scene0487_00/depth scans/scene0487_00/color scans/scene0487_00/label-filt scans/scene0487_00/pose scans/scene0487_00/intrinsic
scans/scene0619_00/depth scans/scene0619_00/color scans/scene0619_00/label-filt scans/scene0619_00/pose scans/scene0619_00/intrinsic
scans/scene0097_00/depth scans/scene0097_00/color scans/scene0097_00/label-filt scans/scene0097_00/pose scans/scene0097_00/intrinsic
scans/scene0367_00/depth scans/scene0367_00/color scans/scene0367_00/label-filt scans/scene0367_00/pose scans/scene0367_00/intrinsic
scans/scene0491_00/depth scans/scene0491_00/color scans/scene0491_00/label-filt scans/scene0491_00/pose scans/scene0491_00/intrinsic
scans/scene0492_00/depth scans/scene0492_00/color scans/scene0492_00/label-filt scans/scene0492_00/pose scans/scene0492_00/intrinsic
scans/scene0005_00/depth scans/scene0005_00/color scans/scene0005_00/label-filt scans/scene0005_00/pose scans/scene0005_00/intrinsic
scans/scene0543_00/depth scans/scene0543_00/color scans/scene0543_00/label-filt scans/scene0543_00/pose scans/scene0543_00/intrinsic
scans/scene0657_00/depth scans/scene0657_00/color scans/scene0657_00/label-filt scans/scene0657_00/pose scans/scene0657_00/intrinsic
scans/scene0341_00/depth scans/scene0341_00/color scans/scene0341_00/label-filt scans/scene0341_00/pose scans/scene0341_00/intrinsic
scans/scene0534_00/depth scans/scene0534_00/color scans/scene0534_00/label-filt scans/scene0534_00/pose scans/scene0534_00/intrinsic
scans/scene0319_00/depth scans/scene0319_00/color scans/scene0319_00/label-filt scans/scene0319_00/pose scans/scene0319_00/intrinsic
scans/scene0273_00/depth scans/scene0273_00/color scans/scene0273_00/label-filt scans/scene0273_00/pose scans/scene0273_00/intrinsic
scans/scene0225_00/depth scans/scene0225_00/color scans/scene0225_00/label-filt scans/scene0225_00/pose scans/scene0225_00/intrinsic
scans/scene0198_00/depth scans/scene0198_00/color scans/scene0198_00/label-filt scans/scene0198_00/pose scans/scene0198_00/intrinsic
scans/scene0003_00/depth scans/scene0003_00/color scans/scene0003_00/label-filt scans/scene0003_00/pose scans/scene0003_00/intrinsic
scans/scene0409_00/depth scans/scene0409_00/color scans/scene0409_00/label-filt scans/scene0409_00/pose scans/scene0409_00/intrinsic
scans/scene0331_00/depth scans/scene0331_00/color scans/scene0331_00/label-filt scans/scene0331_00/pose scans/scene0331_00/intrinsic
scans/scene0505_00/depth scans/scene0505_00/color scans/scene0505_00/label-filt scans/scene0505_00/pose scans/scene0505_00/intrinsic
scans/scene0506_00/depth scans/scene0506_00/color scans/scene0506_00/label-filt scans/scene0506_00/pose scans/scene0506_00/intrinsic
scans/scene0057_00/depth scans/scene0057_00/color scans/scene0057_00/label-filt scans/scene0057_00/pose scans/scene0057_00/intrinsic
scans/scene0074_00/depth scans/scene0074_00/color scans/scene0074_00/label-filt scans/scene0074_00/pose scans/scene0074_00/intrinsic
scans/scene0091_00/depth scans/scene0091_00/color scans/scene0091_00/label-filt scans/scene0091_00/pose scans/scene0091_00/intrinsic
scans/scene0112_00/depth scans/scene0112_00/color scans/scene0112_00/label-filt scans/scene0112_00/pose scans/scene0112_00/intrinsic
scans/scene0240_00/depth scans/scene0240_00/color scans/scene0240_00/label-filt scans/scene0240_00/pose scans/scene0240_00/intrinsic
scans/scene0102_00/depth scans/scene0102_00/color scans/scene0102_00/label-filt scans/scene0102_00/pose scans/scene0102_00/intrinsic
scans/scene0513_00/depth scans/scene0513_00/color scans/scene0513_00/label-filt scans/scene0513_00/pose scans/scene0513_00/intrinsic
scans/scene0514_00/depth scans/scene0514_00/color scans/scene0514_00/label-filt scans/scene0514_00/pose scans/scene0514_00/intrinsic
scans/scene0537_00/depth scans/scene0537_00/color scans/scene0537_00/label-filt scans/scene0537_00/pose scans/scene0537_00/intrinsic
scans/scene0516_00/depth scans/scene0516_00/color scans/scene0516_00/label-filt scans/scene0516_00/pose scans/scene0516_00/intrinsic
scans/scene0495_00/depth scans/scene0495_00/color scans/scene0495_00/label-filt scans/scene0495_00/pose scans/scene0495_00/intrinsic
scans/scene0617_00/depth scans/scene0617_00/color scans/scene0617_00/label-filt scans/scene0617_00/pose scans/scene0617_00/intrinsic
scans/scene0133_00/depth scans/scene0133_00/color scans/scene0133_00/label-filt scans/scene0133_00/pose scans/scene0133_00/intrinsic
scans/scene0520_00/depth scans/scene0520_00/color scans/scene0520_00/label-filt scans/scene0520_00/pose scans/scene0520_00/intrinsic
scans/scene0635_00/depth scans/scene0635_00/color scans/scene0635_00/label-filt scans/scene0635_00/pose scans/scene0635_00/intrinsic
scans/scene0054_00/depth scans/scene0054_00/color scans/scene0054_00/label-filt scans/scene0054_00/pose scans/scene0054_00/intrinsic
scans/scene0473_00/depth scans/scene0473_00/color scans/scene0473_00/label-filt scans/scene0473_00/pose scans/scene0473_00/intrinsic
scans/scene0524_00/depth scans/scene0524_00/color scans/scene0524_00/label-filt scans/scene0524_00/pose scans/scene0524_00/intrinsic
scans/scene0379_00/depth scans/scene0379_00/color scans/scene0379_00/label-filt scans/scene0379_00/pose scans/scene0379_00/intrinsic
scans/scene0471_00/depth scans/scene0471_00/color scans/scene0471_00/label-filt scans/scene0471_00/pose scans/scene0471_00/intrinsic
scans/scene0566_00/depth scans/scene0566_00/color scans/scene0566_00/label-filt scans/scene0566_00/pose scans/scene0566_00/intrinsic
scans/scene0248_00/depth scans/scene0248_00/color scans/scene0248_00/label-filt scans/scene0248_00/pose scans/scene0248_00/intrinsic
scans/scene0529_00/depth scans/scene0529_00/color scans/scene0529_00/label-filt scans/scene0529_00/pose scans/scene0529_00/intrinsic
scans/scene0391_00/depth scans/scene0391_00/color scans/scene0391_00/label-filt scans/scene0391_00/pose scans/scene0391_00/intrinsic
scans/scene0264_00/depth scans/scene0264_00/color scans/scene0264_00/label-filt scans/scene0264_00/pose scans/scene0264_00/intrinsic
scans/scene0675_00/depth scans/scene0675_00/color scans/scene0675_00/label-filt scans/scene0675_00/pose scans/scene0675_00/intrinsic
scans/scene0350_00/depth scans/scene0350_00/color scans/scene0350_00/label-filt scans/scene0350_00/pose scans/scene0350_00/intrinsic
scans/scene0450_00/depth scans/scene0450_00/color scans/scene0450_00/label-filt scans/scene0450_00/pose scans/scene0450_00/intrinsic
scans/scene0068_00/depth scans/scene0068_00/color scans/scene0068_00/label-filt scans/scene0068_00/pose scans/scene0068_00/intrinsic
scans/scene0237_00/depth scans/scene0237_00/color scans/scene0237_00/label-filt scans/scene0237_00/pose scans/scene0237_00/intrinsic
scans/scene0365_00/depth scans/scene0365_00/color scans/scene0365_00/label-filt scans/scene0365_00/pose scans/scene0365_00/intrinsic
scans/scene0605_00/depth scans/scene0605_00/color scans/scene0605_00/label-filt scans/scene0605_00/pose scans/scene0605_00/intrinsic
scans/scene0539_00/depth scans/scene0539_00/color scans/scene0539_00/label-filt scans/scene0539_00/pose scans/scene0539_00/intrinsic
scans/scene0540_00/depth scans/scene0540_00/color scans/scene0540_00/label-filt scans/scene0540_00/pose scans/scene0540_00/intrinsic
scans/scene0170_00/depth scans/scene0170_00/color scans/scene0170_00/label-filt scans/scene0170_00/pose scans/scene0170_00/intrinsic
scans/scene0433_00/depth scans/scene0433_00/color scans/scene0433_00/label-filt scans/scene0433_00/pose scans/scene0433_00/intrinsic
scans/scene0340_00/depth scans/scene0340_00/color scans/scene0340_00/label-filt scans/scene0340_00/pose scans/scene0340_00/intrinsic
scans/scene0160_00/depth scans/scene0160_00/color scans/scene0160_00/label-filt scans/scene0160_00/pose scans/scene0160_00/intrinsic
scans/scene0059_00/depth scans/scene0059_00/color scans/scene0059_00/label-filt scans/scene0059_00/pose scans/scene0059_00/intrinsic
scans/scene0056_00/depth scans/scene0056_00/color scans/scene0056_00/label-filt scans/scene0056_00/pose scans/scene0056_00/intrinsic
scans/scene0478_00/depth scans/scene0478_00/color scans/scene0478_00/label-filt scans/scene0478_00/pose scans/scene0478_00/intrinsic
scans/scene0548_00/depth scans/scene0548_00/color scans/scene0548_00/label-filt scans/scene0548_00/pose scans/scene0548_00/intrinsic
scans/scene0204_00/depth scans/scene0204_00/color scans/scene0204_00/label-filt scans/scene0204_00/pose scans/scene0204_00/intrinsic
scans/scene0033_00/depth scans/scene0033_00/color scans/scene0033_00/label-filt scans/scene0033_00/pose scans/scene0033_00/intrinsic
scans/scene0145_00/depth scans/scene0145_00/color scans/scene0145_00/label-filt scans/scene0145_00/pose scans/scene0145_00/intrinsic
scans/scene0483_00/depth scans/scene0483_00/color scans/scene0483_00/label-filt scans/scene0483_00/pose scans/scene0483_00/intrinsic
scans/scene0508_00/depth scans/scene0508_00/color scans/scene0508_00/label-filt scans/scene0508_00/pose scans/scene0508_00/intrinsic
scans/scene0180_00/depth scans/scene0180_00/color scans/scene0180_00/label-filt scans/scene0180_00/pose scans/scene0180_00/intrinsic
scans/scene0148_00/depth scans/scene0148_00/color scans/scene0148_00/label-filt scans/scene0148_00/pose scans/scene0148_00/intrinsic
scans/scene0556_00/depth scans/scene0556_00/color scans/scene0556_00/label-filt scans/scene0556_00/pose scans/scene0556_00/intrinsic
scans/scene0416_00/depth scans/scene0416_00/color scans/scene0416_00/label-filt scans/scene0416_00/pose scans/scene0416_00/intrinsic
scans/scene0073_00/depth scans/scene0073_00/color scans/scene0073_00/label-filt scans/scene0073_00/pose scans/scene0073_00/intrinsic
scans/scene0034_00/depth scans/scene0034_00/color scans/scene0034_00/label-filt scans/scene0034_00/pose scans/scene0034_00/intrinsic
scans/scene0639_00/depth scans/scene0639_00/color scans/scene0639_00/label-filt scans/scene0639_00/pose scans/scene0639_00/intrinsic
scans/scene0561_00/depth scans/scene0561_00/color scans/scene0561_00/label-filt scans/scene0561_00/pose scans/scene0561_00/intrinsic
scans/scene0298_00/depth scans/scene0298_00/color scans/scene0298_00/label-filt scans/scene0298_00/pose scans/scene0298_00/intrinsic
scans/scene0692_00/depth scans/scene0692_00/color scans/scene0692_00/label-filt scans/scene0692_00/pose scans/scene0692_00/intrinsic
scans/scene0642_00/depth scans/scene0642_00/color scans/scene0642_00/label-filt scans/scene0642_00/pose scans/scene0642_00/intrinsic
scans/scene0630_00/depth scans/scene0630_00/color scans/scene0630_00/label-filt scans/scene0630_00/pose scans/scene0630_00/intrinsic
scans/scene0706_00/depth scans/scene0706_00/color scans/scene0706_00/label-filt scans/scene0706_00/pose scans/scene0706_00/intrinsic
scans/scene0567_00/depth scans/scene0567_00/color scans/scene0567_00/label-filt scans/scene0567_00/pose scans/scene0567_00/intrinsic
